sample,psnr_opencv,psnr_ffmpeg,psnr_delta,psnr_flag,ssim_opencv,ssim_ffmpeg,ssim_delta,ssim_flag,msssim_opencv,msssim_libvmaf,msssim_delta,msssim_flag,vmaf_libvmaf
noise@30.0dB,30.007334130896805,30.007334,1.3089680450661945e-07,OK,0.5351582106795439,0.487012,0.048146210679543944,OK,0.8644229533748982,0.97063,0.10620704662510183,WARN,89.986671
noise@25.0dB,25.031589756650597,25.03159,2.4334940462722443e-07,OK,0.31316349363635193,0.310903,0.0022604936363519457,OK,0.7858254151428796,0.922935,0.13710958485712033,WARN,83.514441
noise@20.0dB,19.965335328453676,19.965335,3.284536767012014e-07,OK,0.16042619519607326,0.174119,0.013692804803926734,OK,0.6914592004368587,0.823505,0.13204579956314133,WARN,69.633329
noise@15.0dB,14.995474100942499,14.995474,1.0094249880410189e-07,OK,0.07548683373549255,0.086519,0.011032166264507454,OK,0.5664919222373103,0.670642,0.1041500777626897,WARN,46.674906
blur@30.0dB,29.960764126926417,29.960764,1.2692641604417076e-07,OK,0.9487310981134409,0.9411,0.007631098113440871,OK,0.9942005922296351,0.990295,0.0039055922296350465,OK,56.190083
blur@25.0dB,25.000319259707048,25.000319,2.597070469789742e-07,OK,0.8715611624716311,0.856897,0.014664162471631048,OK,0.9563443299251315,0.945452,0.01089232992513156,OK,0.0
blur@20.0dB,20.045100963401723,20.045101,3.659827640944968e-08,OK,0.7887710859084982,0.742783,0.04598808590849823,OK,0.7520201989070099,0.752066,4.580109299012758e-05,OK,0.0
blur@15.0dB,15.025899907158157,15.0259,9.284184265823114e-08,OK,0.67292627668896,0.632097,0.04082927668895997,OK,0.5277468970529743,0.643204,0.11545710294702571,WARN,0.0
black,4.706609636022063,4.70661,3.639779375674834e-07,OK,0.18807000403712326,0.185446,0.002624004037123262,OK,0.15737687153250612,0.578788,0.42141112846749385,WARN,0.0
white,3.535991396014195,3.535991,3.9601419477008903e-07,OK,0.49889569420486773,0.489452,0.009443694204867736,OK,0.3890978265081021,0.647132,0.25803417349189794,WARN,0.0
broken/block_glitch,15.474018101699407,15.474018,1.0169940800608401e-07,OK,0.878166535461614,0.896062,0.017895464538385975,OK,0.7298790701565243,0.781023,0.05114392984347571,WARN,57.724097
broken/packet_loss,18.242587413526902,18.242587,4.1352690161033934e-07,OK,0.955618312602903,0.955993,0.0003746873970970066,OK,0.9260118429937273,0.955855,0.029843157006272714,OK,92.668644
broken/row_tearing,10.885286795843495,10.885287,2.0415650503480265e-07,OK,0.6848983977363506,0.65805,0.026848397736350615,OK,0.5712101017651716,0.599803,0.028592898234828357,OK,0.0
broken/heavy_compression,23.56650599720666,23.566506,2.793338893525288e-09,OK,0.779621842555288,0.758349,0.02127284255528794,OK,0.864142618184331,0.945822,0.08167938181566903,WARN,63.382399
broken/chroma_loss,9.644307313130993,9.644307,3.131309931347914e-07,OK,0.7229696997873027,0.725695,0.0027253002126972348,OK,0.6551012003106764,0.999622,0.3445207996893236,WARN,97.335434
broken/chroma_swap,7.613876199218806,7.613876,1.9921880589635066e-07,OK,0.7080674181649207,0.709145,0.0010775818350793331,OK,0.6378866241107882,0.987265,0.3493783758892117,WARN,93.9011
