type,target_psnr,param,psnr,ssim,ms_ssim,vmaf
noise,30.0,9.008291030948282,30.007334130896805,0.5351582106795439,0.8644229533748982,89.986671
noise,29.0,10.17031705619473,28.968811091542808,0.48509318334914875,0.8478914776793093,89.065589
noise,28.0,11.35674328469566,28.022707439413004,0.44044338711875947,0.8338171961409728,87.830173
noise,27.0,12.853081106101909,26.961985421267475,0.3925061201494904,0.8167347249828797,86.525921
noise,26.0,14.39050776039585,26.001790218813955,0.35161614569785044,0.8016001895396838,85.253805
noise,25.0,16.131420228231665,25.031589756650597,0.31316349363635193,0.7858254151428796,83.514441
noise,24.0,18.31095641812758,23.964110480792307,0.2741999550148293,0.7678475620349439,81.113387
noise,23.0,20.566597160075794,22.98276515088564,0.24168160360946137,0.7505243438827551,78.97808
noise,22.0,23.120898031549515,22.000049195968447,0.2121721388989919,0.7323385918098848,75.918017
noise,21.0,26.01345080397683,21.02986214261152,0.1860445477243451,0.7134988401132959,73.813843
noise,20.0,29.607421875,19.965335328453676,0.16042619519607326,0.6914592004368587,69.633329
noise,19.0,33.35326056595867,18.992244936465493,0.13972305979206964,0.6697657177568284,66.191748
noise,18.0,37.594689180523865,18.024224769709626,0.12122800478018873,0.6471374754485348,61.952796
noise,17.0,42.83880800731699,16.976093656589835,0.10347994363269221,0.6204330406757661,57.319193
noise,16.0,48.32790728078503,16.01917470943913,0.08916668093946249,0.5955574580438772,52.237588
noise,15.0,55.09311518280376,14.995474100942499,0.07548683373549255,0.5664919222373103,46.674906
blur,30.0,1.46484375,29.960764126926417,0.9487310981134409,0.9942005922296351,56.190083
blur,29.0,1.7852783203125,29.017262811732103,0.9368712633315823,0.9914720094424468,46.057815
blur,28.0,2.1514892578125,28.02309964179411,0.920690644094603,0.9868103041845013,34.530428
blur,27.0,2.655029296875,27.002513773282764,0.9025891772546201,0.9804357506039496,21.428964
blur,26.0,3.2958984375,26.041919375305667,0.8875771626340692,0.9705856552266915,7.339157
blur,25.0,4.119873046875,25.000319259707048,0.8715611624716311,0.9563443299251315,0.0
blur,24.0,5.126953125,24.009968713151217,0.8602828980914431,0.9331365018250601,0.0
blur,23.0,6.317138671875,23.013154986498666,0.8463122252540788,0.8996637010226147,0.0
blur,22.0,7.87353515625,22.02008425539743,0.829173244903117,0.8557226496520705,0.0
blur,21.0,10.25390625,20.998479205740193,0.8079677408705699,0.8012701002516276,0.0
blur,20.0,13.916015625,20.045100963401723,0.7887710859084982,0.7520201989070099,0.0
blur,19.0,19.775390625,19.038323364072728,0.7702644553390279,0.7078221530982111,0.0
blur,18.0,27.83203125,18.003332394174084,0.7489044158208219,0.659164000128017,0.0
blur,17.0,38.0859375,17.00631226281218,0.724122917962451,0.6100195218288613,0.0
blur,16.0,52.734375,15.975676090981823,0.6946902803529711,0.5611285771552194,0.0
blur,15.0,70.3125,15.025899907158157,0.67292627668896,0.5277468970529743,0.0
anchor_black,,,4.706609636022063,0.18807000403712326,0.15737687153250612,0.0
anchor_white,,,3.535991396014195,0.49889569420486773,0.3890978265081021,0.0
