type,target_psnr,param,psnr,ssim,ms_ssim,vmaf
noise,30.0,8.894262030556531,30.028810421958433,0.5402335445311066,0.8654461829656347,89.037159
noise,29.0,10.044757586365165,28.98366838124769,0.4891499429198516,0.8482289520706374,87.942349
noise,28.0,11.218246415370103,28.03649765361502,0.4440904523873741,0.8343961139248361,86.799429
noise,27.0,12.700068235791171,26.97475930347767,0.39549782483757134,0.8173893201102341,85.287337
noise,26.0,14.221207669097076,26.006378833231125,0.3536070038398256,0.8022794517516881,83.721138
noise,25.0,15.943845574415018,25.03294781032864,0.3142904668440039,0.7864072505430643,81.916782
noise,24.0,18.102877367921586,23.962542217678045,0.27443538439616,0.7685494403874213,79.869632
noise,23.0,20.33551179872663,22.98537434371307,0.24121832234381446,0.7515105315353433,77.575315
noise,22.0,22.8639991645323,22.011765800508606,0.21124705430631394,0.7335406773076226,74.962446
noise,21.0,25.72758870722983,21.03676074579658,0.18417264835307232,0.7146113195927686,71.871537
noise,20.0,29.2890625,19.977203021621513,0.1578647974223377,0.6926340439581818,68.350498
noise,19.0,32.99843864504422,19.006802935754894,0.13642076690925997,0.6711227420767097,64.752938
noise,18.0,37.19895561020256,18.038408856515133,0.11733426988090472,0.6482523864649737,60.472956
noise,17.0,42.39717081136527,16.99652684854581,0.09912090011468035,0.6219124727044111,55.27895
noise,16.0,48.32790728078503,15.96347889804964,0.0832652035709301,0.5937641527720181,50.147629
noise,15.0,54.54218403097572,15.026584105465,0.07055999795036795,0.5668831794931716,45.095538
blur,30.0,2.105712890625,30.005538913500025,0.9245600628337498,0.9883668489348357,43.790574
blur,29.0,2.6092529296875,29.018152230011548,0.9078796261432758,0.982337751931397,32.346221
blur,28.0,3.2958984375,27.981100940775505,0.8925550709428879,0.9730232440281245,18.636158
blur,27.0,4.0283203125,26.974553602363915,0.8799433552211969,0.960819495464938,5.987246
blur,26.0,4.94384765625,25.994559288244915,0.8729833256061529,0.9405277098954477,0.0
blur,25.0,5.950927734375,24.973088567815775,0.8641802383030782,0.9111709891583972,0.0
blur,24.0,7.14111328125,23.97757156562492,0.8549394956004143,0.8694017754665146,0.0
blur,23.0,8.7890625,22.966191727920382,0.8369752296595045,0.8193771656297657,0.0
blur,22.0,11.71875,21.9888157286324,0.8201865462106852,0.7649749795799213,0.0
blur,21.0,19.04296875,21.042519419969928,0.8055517906599032,0.7270147800149942,0.0
blur,20.0,30.76171875,20.00533021758118,0.789335984678463,0.6945205941778296,0.0
blur,19.0,46.875,18.958653867028865,0.769108536015255,0.660712885439294,0.0
blur,18.0,65.91796875,18.010623362459306,0.7475625959115524,0.6306258291326199,0.0
blur,17.0,90.8203125,17.04182768410677,0.7216090205614843,0.5993047447652915,0.0
blur,16.0,125.9765625,15.98595264756032,0.6948076319408866,0.5703403508475997,0.0
blur,15.0,166.9921875,14.993897833634017,0.6719050784972671,0.5485950912320233,0.0
anchor_black,,,4.997897333061835,0.17685714500102212,0.16234778155209112,0.0
anchor_white,,,3.430089189267142,0.49266157412383665,0.41780578429225007,0.0
