sample,psnr_opencv,psnr_ffmpeg,psnr_delta,psnr_flag,ssim_opencv,ssim_ffmpeg,ssim_delta,ssim_flag,msssim_opencv,msssim_libvmaf,msssim_delta,msssim_flag,vmaf_libvmaf
noise@30.0dB,29.963815463661327,29.963815,4.63661326222109e-07,OK,0.6874821390216757,0.725628,0.0381458609783244,OK,0.9722811892215927,0.979132,0.0068508107784073236,OK,91.055228
noise@25.0dB,24.99734487804277,24.997345,1.2195722831620515e-07,OK,0.4514021116324003,0.500062,0.04865988836759971,OK,0.9346828791507477,0.942812,0.008129120849252325,OK,83.715353
noise@20.0dB,19.95630405770813,19.956304,5.770813160665966e-08,OK,0.23874096365303435,0.278931,0.040190036346965635,OK,0.8574937266363828,0.858505,0.0010112733636171711,OK,68.470186
noise@15.0dB,15.009228582219114,15.009229,4.1778088544219827e-07,OK,0.10385795142250871,0.126301,0.022443048577491284,OK,0.7190143355446454,0.705595,0.013419335544645472,OK,45.264248
blur@30.0dB,30.0176769083429,30.017677,9.165709968783631e-08,OK,0.8630888509497576,0.873314,0.01022514905024241,OK,0.9770517251793819,0.959139,0.017912725179381916,OK,38.877101
blur@25.0dB,25.03783963118042,25.03784,3.688195775453096e-07,OK,0.6566570501623613,0.608252,0.048405050162361296,OK,0.8275099202850147,0.762405,0.06510492028501469,WARN,0.0
blur@20.0dB,20.018572303032748,20.018572,3.0303274911602784e-07,OK,0.584003410972009,0.497769,0.08623441097200901,WARN,0.5163442110675642,0.456079,0.06026521106756422,WARN,1.789515
blur@15.0dB,15.008260191745999,15.00826,1.9174599863447384e-07,OK,0.5387532478658026,0.457199,0.08155424786580256,WARN,0.44644453693533953,0.435443,0.011001536935339506,OK,3.429747
black,8.356169507372975,8.35617,4.926270253946541e-07,OK,0.0018049736611081653,4.3e-05,0.0017619736611081652,OK,0.0012915516570924145,0.382203,0.3809114483429076,WARN,3.379774
white,3.088001795237929,3.088002,2.0476207085451392e-07,OK,0.31032717336461446,0.260766,0.049561173364614464,OK,0.246235110015047,0.415753,0.16951788998495299,WARN,3.379774
broken/block_glitch,19.846794293843974,19.846794,2.9384397493004144e-07,OK,0.885415780523136,0.889791,0.004375219476864034,OK,0.7915851349235764,0.799114,0.007528865076423585,OK,61.32799
broken/packet_loss,19.04031502360764,19.040315,2.3607640287082177e-08,OK,0.8935052551493156,0.879964,0.01354125514931559,OK,0.860338175179947,0.859095,0.001243175179946987,OK,57.936399
broken/row_tearing,16.815840758236167,16.815841,2.4176383206508945e-07,OK,0.4101240646434308,0.326646,0.08347806464343083,WARN,0.3673178494552874,0.322322,0.044995849455287396,OK,4.970966
broken/heavy_compression,22.526758869661172,22.526759,1.3033882595436808e-07,OK,0.580649249055234,0.553737,0.026912249055233928,OK,0.723679917916472,0.775711,0.052031082083528024,WARN,30.380422
broken/chroma_loss,17.055578720031022,17.055579,2.799689795551785e-07,OK,0.9185828917658133,0.914574,0.004008891765813316,OK,0.8762085769537284,0.999672,0.12346342304627156,WARN,97.133226
broken/chroma_swap,14.07509068551551,14.075091,3.144844900049293e-07,OK,0.8645739123799189,0.856443,0.00813091237991892,OK,0.7813220541153332,0.997767,0.21644494588466678,WARN,92.547008
