type,target_psnr,param,psnr,ssim,ms_ssim,vmaf
noise,30.0,8.096059027814277,29.963815463661327,0.6874821390216757,0.9722811892215927,91.055228
noise,29.0,9.040281827728649,29.015795503200312,0.6446572245698549,0.967119863201292,90.167495
noise,28.0,10.179519895428427,27.9921231611674,0.5962705638148085,0.960658993118712,88.665356
noise,27.0,11.475965273305276,26.96139283920505,0.5465788178289764,0.9529368605001209,87.377136
noise,26.0,12.866806938706876,25.98287875021889,0.49893379181668435,0.9444931838162364,85.746341
noise,25.0,14.44324834388184,24.99734487804277,0.4514021116324003,0.9346828791507477,83.715353
noise,24.0,16.23016591606763,24.00771238786443,0.4050205886570246,0.9233226694992139,81.605043
noise,23.0,18.255743546584135,23.011802566231907,0.36015724626608225,0.9102444820267486,78.868214
noise,22.0,20.551909361377348,22.018097132453395,0.31778745446362716,0.8953446940517013,75.876562
noise,21.0,23.15482983650685,21.033990737877346,0.2784065023979641,0.8786025423303904,73.009263
noise,20.0,26.423828125,19.95630405770813,0.23874096365303435,0.8574937266363828,68.470186
noise,19.0,29.80504135681413,18.990083748200618,0.20635378367549273,0.8362032178296149,64.554071
noise,18.0,33.63735347731083,18.037366352621827,0.17754772788632675,0.8127946513408084,60.317732
noise,17.0,38.42243604779978,17.00444194476072,0.14919340138964376,0.7839674530113102,55.014376
noise,16.0,43.88963008152926,15.996893649931248,0.12485302817562965,0.7535215239523824,50.451324
noise,15.0,50.13473481635141,15.009228582219114,0.10385795142250871,0.7190143355446454,45.264248
blur,30.0,1.64794921875,30.0176769083429,0.8630888509497576,0.9770517251793819,38.877101
blur,29.0,1.9683837890625,29.009407388325037,0.8273701119168072,0.9659172287602871,27.008882
blur,28.0,2.38037109375,28.046291078914937,0.7873713570905809,0.9494766013397582,13.954991
blur,27.0,3.021240234375,27.049215287969727,0.7416973159322572,0.9233337350221773,0.289714
blur,26.0,4.0283203125,26.00679828896634,0.6946871744629566,0.8819226903655849,0.0
blur,25.0,5.4931640625,25.03783963118042,0.6566570501623613,0.8275099202850147,0.0
blur,24.0,8.056640625,24.02239426659147,0.6262121305583732,0.7540513926475777,0.0
blur,23.0,13.18359375,23.00203863872877,0.6070761957224241,0.6696387907754511,0.0
blur,22.0,23.4375,22.015154925392565,0.5964751779660585,0.5971786472269354,0.0
blur,21.0,42.48046875,20.992568619356366,0.5896288487321816,0.5468184590692059,0.387056
blur,20.0,70.3125,20.018572303032748,0.584003410972009,0.5163442110675642,1.789515
blur,19.0,117.1875,19.018276737586234,0.5786293351428253,0.4961529094249881,2.651551
blur,18.0,199.21875,17.969239077598683,0.5723460307818026,0.4823681508856311,3.148806
blur,17.0,316.40625,17.007208047052597,0.5641114627902865,0.4716889436437779,3.364369
blur,16.0,492.1875,16.019451575218817,0.55210290157658,0.45916488041550146,3.439315
blur,15.0,937.5,15.008260191745999,0.5387532478658026,0.44644453693533953,3.429747
anchor_black,,,8.356169507372975,0.0018049736611081653,0.0012915516570924145,3.379774
anchor_white,,,3.088001795237929,0.31032717336461446,0.246235110015047,3.379774
